IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
1216062-25-LP26;PLATAFORMA DE CONTACT CENTER;LP;Publicada y disponible para ofertar;07/08/2026 12:37:00;CONTRATACIÓN DEL SERVICIO “PLATAFORMA CONTACT CENTER, SOLUCIÓN DE SOFTWARE EN LA NUBE PARA CENTROS DE CONTACTO PARA LOS CENTROS DE SALUD DEPENDIENTES DE LA CORPORACION MUNICIPAL DE LO PRADO”;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;Corporación Municipal de Lo Prado
1456835-1-LP26;SERVICIO DE ARRIENDO DE SOFTWARE DE GDP Y REMUNERA;LP;Publicada y disponible para ofertar;18/08/2026 23:36:53;Adquirir servicio de arriendo de software de remuneraciones y gestión de personas P01 y P02, con el objeto de velar por el correcto pago de remuneraciones y llevar adecuadamente la administración de los funcionarios y funcionarias nivel central, docentes y asistentes de la educación del Slep Del Litoral.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DEL LITORAL
711-8-LE26;RENOVACIÓN Y ADQUISICIÓN DE LICENCIAS DE SOFTWARE ADOBE PARA LA SUBSECRETARÍA DE TRANSPORTES Y SUS PROGRAMAS DEPENDIENTES;LE;Publicada y disponible para ofertar;18/08/2026 09:10:24;El objetivo principal es contratar la renovación y adquisición de las licencias del software Adobe según el detalle descrito en el punto 1.4 de estas bases, con la finalidad de que la Subsecretaría y sus programas dependientes cuenten con acceso continuo a esta herramienta, y así llevar a cabo las tareas relacionadas con el diseño de campañas corporativas, elaboración de material gráfico y mejoras de sitios web, entre otras.;USD;PUBLICADO;DISPONIBLE;57.459,00;SUBSECRETARIA DE TRANSPORTES
1605-44-LR26;LR-4914 Renovación de Licencias Red Hat Runtimes;LR;Publicada y disponible para ofertar;29/07/2026 12:15:56;El objetivo del presente proceso es renovar el licenciamiento de la plataforma JBoss EAP que posee el Servicio de Impuestos Internos a través de 6 suscripciones de licencias de software Red Hat Runtimes, Premium 64 Cores or 128 vCPUs, más los servicios de soporte por un período de 36 meses.;USD;PUBLICADO;ESTIMADO;815.832,00;SERVICIO DE IMPUESTOS INTERNOS DIRECCION
1005498-19-CO26;SUSCRIPCIÓN DE 6 LICENCIAS DE MAD-TOD-SUB TOAD;CO;Publicada y disponible para ofertar;19/08/2026 14:54:04;La presente licitación privada tiene por objeto la suscripción de 6 seis licencias de software TOAD, en modalidad de suscripción anual, incluyendo soporte y mantención, con el fin de apoyar las labores del Departamento de Ingeniería de Sistemas en la gestión y administración de bases de datos Oracle y del Departamento de Desarrollo en apoyo del desarrollo de software.;CLP;PUBLICADO;DISPONIBLE;9.764.000;COMISION PARA EL MERCADO FINANCIERO
1133353-43-LR26;ARRIENDO DE SOFTWARE INTEGRAL PARA LA GESTIÓN MUNICIPAL ÁREAS DE SALUD Y MUNICIPAL COMUNA DE RAUCO;LR;Publicada y disponible para ofertar;17/08/2026 12:16:28;1.2	La Ilustre Municipalidad de Rauco, requiere la “ARRIENDO DE SOFTWARE INTEGRAL PARA LA GESTIÓN MUNICIPAL ÁREAS DE SALUD Y MUNICIPAL”, cuyos detalles y reglamentación se encuentran contenidos en las presentes Bases Administrativas, Términos de Referencia y en los documentos anexos.;CLP;PUBLICADO;DISPONIBLE;388.644.480;I MUNICIPALIDAD DE RAUCO
14-23-LE26;CONTRATACIÓN DE PLANES DE DATOS PARA EPF ENA;LE;Publicada y disponible para ofertar;13/08/2026 17:43:11;AUTORIZA EL LLAMADO A LICITACIÓN PÚBLICA Y APRUEBA BASES ADMINISTRATIVAS Y TÉCNICAS PARA LA CONTRATACIÓN DE PLANES DE DATOS PARA LOS PROYECTOS ENCUESTA NACIONAL DE PRESUPUESTOS FAMILIARES EPF Y ENCUESTA NACIONALAGROPECUARIA ENA;CLP;PUBLICADO;DISPONIBLE;13.375.000;INSTITUTO NACIONAL DE ESTADISTICAS
14-25-LP26;CONTRATACIÓN DE LICENCIAS DE ANTIVIRUS - CÓDIGO: E1O2RT9;LP;Publicada y disponible para ofertar;14/08/2026 17:58:13;El Instituto Nacional de Estadísticas en adelante INE, requiere efectuar la adquisición de suscripciones del Antivirus Sophos Intercept X Advanced with XDR y Sophos Intercept X Advanced for Server with XDR por 36 meses para mantener la continuidad operativa de la actual plataforma de antivirus con que cuenta la institución.;CLP;PUBLICADO;DISPONIBLE;118.000.000;INSTITUTO NACIONAL DE ESTADISTICAS
4778-14-LP26;SERV. ADMINISTRADO CONTACT CENTER OMNICANAL CON IA;LP;Publicada y disponible para ofertar;20/08/2026 16:46:33;Servicio Administrado de Contact Center Omnicanal con Inteligencia Artificial para la Gestión Integral de la Contactabilidad de Usuarios del Hospital Regional Coyhaique.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;SERVICIO NACIONAL DE SALUD HOSPITAL DE C
548874-62-LP26;SERV DE CONTINUIDAD OPERACIONAL BASES DATOS IPS;LP;Publicada y disponible para ofertar;30/07/2026 10:33:00;E1O2RT8 - SERVICIO DE CONTINUIDAD OPERACIONAL DE LAS BASES DE DATOS PARA LA DIVISIÓN TECNOLOGÍA DEL INSTITUTO DE PREVISIÓN SOCIAL;UF;PUBLICADO;ESTIMADO;5.000,0000;INSTITUTO DE PREVISION SOCIAL
1588-26-LE26;Renovar las Suscripciones Red Hat JBoss Enterprise;LE;Publicada y disponible para ofertar;17/08/2026 16:04:56;renovar las Suscripciones Red Hat JBoss Enterprise Application Platform por un periodo de 12 meses, desde el 15 de noviembre 2026 al 14 noviembre 2027.;USD;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE EVALUACION AMBIENTAL
2735-139-LP26;ARRIENDO MANTENCIÓN EQ. PSICOTÉCNICOS CON SOFTWARE;LP;Publicada y disponible para ofertar;05/08/2026 08:33:05;ARRIENDO Y MANTENCIÓN DE EQUIPOS PSICOTÉCNICOS COMPLETOS CON SOFTWARE INTEGRADO PARA EL DEPARTAMENTO DE LICENCIAS DE CONDUCIR;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;I MUNICIPALIDAD LO BARNECHEA
548874-72-LR26;SERV. DE ADMINISTRACION PLATAFORMAS TECNOLOGICAS;LR;Publicada y disponible para ofertar;24/08/2026 13:05:10;SERVICIO DE ADMINISTRACION, GESTION, CONFIGURACION, RESPALDOS Y MANTENCION DE LAS PLATAFORMAS TECNOLOGICAS DE IPS– E1O2RT8;UF;PUBLICADO;ESTIMADO;24.000,0000;INSTITUTO DE PREVISION SOCIAL
1725-191-LE26;DOS LICENCIAS CAPCUT TEAMS Y MONDAY COMNICACIONES;LE;Publicada y disponible para ofertar;18/08/2026 13:33:13;ADQUISICIÓN DE DOS LICENCIAS CAPCUT TEAMS Y MONDAY PARA EL DEPARTAMENTO DE COMUNICACIONES;CLP;PUBLICADO;DISPONIBLE;1.000.000;SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES
2981-231-LE26;RENOVACION DE LICENCIAS WAF PARA JENATID;LE;Publicada y disponible para ofertar;20/08/2026 16:24:48;RENOVACION DE APLICACION DE PLATAFORMA WEB APPLICATION FIREWALL;CLP;PUBLICADO;DISPONIBLE;26.000.000;POLICIA DE INVESTIGACIONES DE CHILE
3073-44-LE26;ADQ. LICENCIAS INFORMÁTICAS.COMPLETAR 7 FORMULARIO;LE;Publicada y disponible para ofertar;20/08/2026 16:22:11;Adquisición de  dieciséis 16 licencias de Microsoft Windows Server Estándar 2025. Completar los 7 formularios.;CLP;PUBLICADO;DISPONIBLE;14.000.000;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
709603-9-LP26;RENOVACIÓN DE LICENCIAS MICROSOFT O EQUIVALENTE;LP;Publicada y disponible para ofertar;19/08/2026 17:56:02;Contratar la renovación de licencias Microsoft o equivalente para la Superintendencia de Educación, de acuerdo con las especificaciones señaladas en las Bases Técnicas.;USD;PUBLICADO;DISPONIBLE;325.777,00;SUPERINTENDENCIA DE EDUCACION ESCOLAR
956-53-LE26;Contratacion del servicio de una solución técnologica para la gestión comunicación y contacbilidad de pacientes para el Cesfam Plaza Justicia y Cesfam Jean  Marie Thierry vigencia 36 meses;LE;Publicada y disponible para ofertar;11/08/2026 16:57:43;Contratacion del servicio de una solución técnologica para la gestión, comunicación y contacbilidad de pacientes, para el Cesfam Plaza Justicia y Cesfam Jean & Marie Thierry, vigencia 36 meses;CLP;PUBLICADO;DISPONIBLE;53.250.000;SERVICIO DE SALUD VALPARAISO SAN ANTONIO
548874-68-LE26;SERVICIO DE SOPORTE LICENCIAMIENTO VISUAL COBOL PARA EL INSTITUTO DE PREVISIÓN SOCIAL;LE;Publicada y disponible para ofertar;13/08/2026 12:10:47;E1/O2/RT8 - SERVICIO DE SOPORTE LICENCIAMIENTO VISUAL COBOL PARA EL INSTITUTO DE PREVISIÓN SOCIAL;USD;PUBLICADO;DISPONIBLE;70.000,00;INSTITUTO DE PREVISION SOCIAL
2981-206-LR26;RENOVACION DE LICENCIAMIENTO PLATAFORMA DARKTRACE;LR;Publicada y disponible para ofertar;05/08/2026 16:29:19;RENOVACION DE LINCIAMIENTO DARKTRACE DETECT  RESPOND, EQUIVALENTE O SUPERIOR, POR 36 MESES, SEGUN BASES ADMINISTRATIVAS, ESPECIFICACIONES TECNICAS Y ANEXOS;CLP;PUBLICADO;DISPONIBLE;635.000.000;POLICIA DE INVESTIGACIONES DE CHILE
1602-15-LE26;ADQUISICIÓN DE LICENCIAS CLAUDE TEAM  106 dgv;LE;Publicada y disponible para ofertar;20/08/2026 08:35:46;Adquirir las licencias de Claude Team para el equipo de desarrollo, por un periodo de vigencia de 3 años;CLP;PUBLICADO;ESTIMADO;20.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
3945-20-LE26;ADQUISICION SERVICIO DE SISTEMA INFORMATIVO DE GESTION DOCUMENTAL - MUNICIPALIDAD LOS ALAMOS;LE;Publicada y disponible para ofertar;24/08/2026 15:04:42;La   necesidad      de      contratar    “ADQUISICION SERVICIO   DE 	SISTEMA     INFORMATIVO    DE     GESTION   DOCUMENTAL – MUNICIPALIDAD   LOS     ALAMOS”, conforme     a           Bases   			Administrativas, Técnicas y Anexos adjuntos.  ;CLP;PUBLICADO;DISPONIBLE;70.000.000;I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL
1126920-30-LE26;ADQUISICIÓN SISTEMA DE CONCILIACIONES BANCARIAS;LE;Publicada y disponible para ofertar;20/08/2026 13:15:00;ADQUISICIÓN DE SISTEMA DE CONCILIACIONES BANCARIAS PARA EL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE COLCHAGUA;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA
2341-11-L126;ADQ 473 _ SP 30 _ DIRECCION DE INFORMATICA _ SERVICIO PARA ENVIO MASIVO DE EMAIL ;L1;Publicada y disponible para ofertar;20/08/2026 10:56:00;Adquisición de un servicio de envío de correos electrónicos masivos por 1 año, que permita gestionar campañas de comunicación interna y extrena, sin caer en calificacion de spam, segun fcha de requerimeinto adjunta.;CLP;PUBLICADO;ESTIMADO;3.000.000;I MUNICIPALIDAD DE SAN BERNARDO
564953-62-LP26;ACTUALIZACIÓN PLATAFORMA ERP PARA LA CORPORACIÓN;LP;Publicada y disponible para ofertar;11/08/2026 14:44:44;El objetivo de la presente licitación es contratar el servicio de implementación y soporte de ERP Dynamics Business Central;CLP;PUBLICADO;ESTIMADO;250.000.000;Corporación de Educación y Salud de Las Condes
4488-11-L126;IMPLEMENTACIÓN INSTALACION Y PUESTA EN MARCHA DE PLATAFORMA COMUNITARIA DE CONFIRMACIÓN DE CITAS “NEGRETE CONECTA”;L1;Publicada y disponible para ofertar;14/08/2026 13:54:00;En el marco del Programa Mas Salud en Comunidad 2026, se necesita contratar los servicios para la IMPLEMENTACIÓN, INSTALACION Y PUESTA EN MARCHA DE PLATAFORMA COMUNITARIA DE CONFIRMACIÓN DE CITAS “NEGRETE CONECTA”;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE NEGRETE
2981-227-LE26;RENOVACION DE LICENCIAS ADOBE CREATIVE CLOUD;LE;Publicada y disponible para ofertar;19/08/2026 12:43:30;RENOVACION DE 13 LICENCIAS ADOBE CREATIVE CLOUD;CLP;PUBLICADO;DISPONIBLE;15.000.000;POLICIA DE INVESTIGACIONES DE CHILE
2448-116-L126;MANTENIMIENTO Y ACTUALIZACIÓN DE SOFTWARE DE CONTROL RESOLUTIVIDAD.;L1;Publicada y disponible para ofertar;21/08/2026 09:27:23;Contratar el servicio de Mantenimiento Evolutivo y Actualización de Software de Control para el equipo médico OCT HEIDELBERG, Número de Serie SPEC-CAM-15583-S2610 , de propiedad de la I. Municipalidad de Coquimbo. El Sistema de Tomografía de Coherencia Óptica (OCT) Heidelberg Engineering SPECTRALIS, N.° de serie SPEC-CAM-15583-S2610, plataforma de diagnóstico oftalmológico basada en tecnología Spectral Domain OCT (SD-OCT) con oftalmoscopía láser confocal (cSLO), seguimiento ocular TruTrack, func;CLP;PUBLICADO;DISPONIBLE;4.526.046;I MUNICIPALIDAD DE COQUIMBO
610-16-LP26;Adquisición de productos y servicios destinados a la “Implementación de software para nueva Plataforma de Virtualización”.;LP;Publicada y disponible para ofertar;19/08/2026 11:26:34;La presente iniciativa tiene por objeto adquirir licenciamiento para implementar un Nuevo Clúster de Infraestructura Virtual de Servidores. La nueva solución deberá garantizar, como estándar mínimo, la equivalencia funcional y técnica de la infraestructura actual, incorporando además las capacidades operativas y de seguridad que demande el estado del arte y la evolución tecnológica reciente.;CLP;PUBLICADO;DISPONIBLE;124.000.000;Comisión Nacional de Energía
1020-38-LP26;Adquisición de Plataforma Next Generation Firewall;LP;Publicada y disponible para ofertar;18/08/2026 10:37:47;Se requiere adquirir una solución consistente en dos 2 Firewall de Seguridad en alta disponibilidad, con la capacidad de crear instancias virtuales de NGFW, que deben proveer funcionalidades de IPS, filtrado de URL, control de identidad, control de QoS, protección de malware y seguridad DNS. Lo anterior administrado a través de una sola consola, además de incluir soporte 7X24 por 1 año de misión critica. Esta solución debe incluir el proceso de migración de firewall de datacenter.;CLP;PUBLICADO;ESTIMADO;240.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1020-37-LE26;Soporte de Licencias Redhat Openshift;LE;Publicada y disponible para ofertar;17/08/2026 16:12:52;El objetivo es la renovación del Soporte de Licencias Redhat Openshift para proyecto Gestión de Contenedores Cloud del Ministerio de Obras Públicas, existentes, con el propósito de mantener vigente su plataforma tecnológica y aplicar las actualizaciones, cuando estén disponibles.;CLP;PUBLICADO;ESTIMADO;60.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
2239-2-LR26;Convenio Marco Desarrollo de software;LR;Publicada y disponible para ofertar;14/07/2026 17:42:00;Convenio Marco para la adquisición de los Servicios de Desarrollo y Mantención de Software, Servicios Profesionales TI y Cloud Computing;UTM;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;DIRECCION DE COMPRAS Y CONTRATACION PUBLICA
1020-35-LR26;Serv Ingeniería y Licencias para Renovación Máximo;LR;Publicada y disponible para ofertar;04/08/2026 15:13:00;La incorporación de un sistema de clase mundial ha apoyado la administración y mantenimiento de los activos lineales y puntuales, además de un mejoramiento en los procesos administrativos del patrimonio público vial, en el levantamiento de las necesidades de mantenimiento, de la planificación técnica y presupuestaria, de la programación de las actividades de mantenimiento.;USD;PUBLICADO;ESTIMADO;2.602.811,00;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1592-11-LE26;Renovación de Licencias tecnológicas;LE;Publicada y disponible para ofertar;19/08/2026 13:08:14;Las licencias Adobe Creative Cloud, Adobe Stock y Adobe Acrobat Pro forman parte integral del ecosistema tecnológico de la SPS y constituyen herramientas esenciales para el cumplimiento de funciones. Las licencias Cisco Meraki requeridas forman parte integral de la infraestructura tecnológica de la SPS, permitiendo la administración centralizada, monitoreo permanente y control de la red.;USD;PUBLICADO;DISPONIBLE;31.100,00;SUBSECRETARIA DE PREVISION SOCIAL
1007793-15-LE26;SOLUCIÓN INFORMÁTICA INSTITUCIONAL PARA EL CFT;LE;Publicada y disponible para ofertar;19/08/2026 12:05:52;Se requiere la adquisición de una solución informática institucional para la gestión de iniciativas de vinculación con el medio del CFT Estatal de la Región de Los Lagos.;CLP;PUBLICADO;DISPONIBLE;11.300.000;CENTRO DE FORMACION TECNICA ESTATAL DE LA REGION DE LOS LAGOS
885-74-LP26;Servicio de actualización de software arquitectura y migración de base de datos del Sistema DIP.;LP;Publicada y disponible para ofertar;12/08/2026 10:05:17;La Contraloría General de la República requiere contratar el servicio de actualización de software, arquitectura y migración de base de datos del Sistema de Declaraciones de Intereses y Patrimonio — DIP.;CLP;PUBLICADO;ESTIMADO;190.000.000;CONTRALORIA GENERAL DE LA REPUBLICA
1113265-12-LE26;ADQUISICIÓN E IMPLEMENTACIÓN DE PLATAFORMA;LE;Publicada y disponible para ofertar;11/08/2026 20:20:00;ha requerido contratar el servicio de provisión, implementación, integración, soporte y mantención de una plataforma web tecnológica, en modalidad SaaS Software como Servicio, para la gestión estratégica de la permanencia y trayectoria estudiantil, que permita gestionar la retención, el seguimiento a la progresión y la trayectoria académica, como apoyo a los procesos asociados al Modelo de Acompañamiento a la Trayectoria del Estudiante MAPE del CFTE de la Región de Antofagasta.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;CENTRO DE FORMACION TECNICA DE LA REGION DE ANTOFAGASTA
2201-30-LE26;SERVICIO DE ARRIENDO DE EQUIPOS Y SERVICIO DE EMISIÓN Y TRANSACCIÓN DE LICENCIAS MÉDICAS ELECTRÓNICAS;LE;Publicada y disponible para ofertar;21/08/2026 11:25:27;Las presentes Bases tienen por objeto regular el proceso de licitación y la adjudicación del contrato, estableciendo las disposiciones generales que regirán la Licitación Pública que celebre el Instituto para la contratación del “Servicio de Arriendo de Equipos y Servicio de Emisión y Transacción de Licencias Médicas Electrónicas para el Instituto Nacional de Rehabilitación Pedro Aguirre Cerda”, por un periodo de 36 meses o hasta agotar presupuesto, lo primero que ocurra.;CLP;PUBLICADO;DISPONIBLE;7.200.000;INSTITUTO NACIONAL DE REHABILITACION PEDRO AGUIRRE CERDA
750998-58-LE26;EQUIPAMIENTO COMPUTACIONAL PARA  FUNCION INTERNA;LE;Publicada y disponible para ofertar;14/08/2026 15:50:00;Actualizar y fortalecer la infraestructura tecnológica del municipio, asegurando la operación estable y segura, conforme a los estándares actuales de los sistemas institucionales, incluyendo las plataformas críticas de gestión administrativa y de información.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LO ESPEJO
3084-30-LR26;CONTRATACIÓN SERVICIO DE SUSCRIPCIÓN DE LICENCIAS;LR;Publicada y disponible para ofertar;19/08/2026 16:00:43;CONTRATACIÓN SERVICIO DE SUSCRIPCIÓN DE LICENCIAS;USD;PUBLICADO;DISPONIBLE;399.041,00;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
1404452-13-LE26;Sistema de trazabilidad y seguridad de visitantes;LE;Publicada y disponible para ofertar;10/08/2026 14:04:00;“DISEÑO, ADQUISICIÓN, INSTALACIÓN, E IMPLEMENTACIÓN DE UN SISTEMA DE TRAZABILIDAD Y SEGURIDAD DE VISITANTES EN EL PARQUE AGUAS DE RAMÓN”.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;ASOCIACION DE MUNICIPALIDADES PARQUE CORDILLERA
1431841-53-LE26;ADQUISICIÓN DE CREDITOS GOOGLE CLOUD PLATFORM;LE;Publicada y disponible para ofertar;19/08/2026 10:27:05;La Municipalidad de Recoleta, a través de su Dirección de Tecnologías de la Información, requiere la adquisición de créditos para Google Cloud Platform GCP por un período de un año, con el fin de soportar la operación, desarrollo y escalabilidad de la aplicación Tarjeta Vecino y otras plataformas municipales críticas, garantizando alta disponibilidad, seguridad, continuidad operativa y cumplimiento de la normativa vigente en materia de ciberseguridad y protección de datos personales.;CLP;PUBLICADO;DISPONIBLE;15.000.000;I MUNICIPALIDAD DE RECOLETA
1020-40-LP26;Serv.Cloud Amazon Web Services AWS o Equivalente;LP;Publicada y disponible para ofertar;20/08/2026 15:39:07;El objetivo de la presente contratación es disponer de un servicio en la nube destinado a alojar los gestores documentales del Ministerio de Obras Públicas MOP y los datos institucionales del MOP, incluyendo el respaldo de repositorios, la gestión de contenedores, aplicaciones y otros datos actualmente alojados en infraestructura propia del Ministerio.;USD;PUBLICADO;ESTIMADO;295.121,00;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
